chair:tvmonitor;0.788445:0.994858;1.775341:-1.048956:0.000000;0.395126:0.000000:0.000000:-0.918627;16.292550
chair:tvmonitor;0.816305:0.989318;1.775341:-1.048956:0.000000;0.395126:0.000000:0.000000:-0.918627;16.394026
tvmonitor;0.992874;1.775341:-1.048956:0.000000;0.395126:0.000000:0.000000:-0.918627;16.495925
tvmonitor;0.979005;1.785780:-1.060924:0.000000;0.446530:0.000000:0.000000:-0.894769;16.597470
tvmonitor;0.983903;1.785780:-1.060924:0.000000;0.446530:0.000000:0.000000:-0.894769;16.699152
tvmonitor;0.986027;1.785780:-1.060924:0.000000;0.446530:0.000000:0.000000:-0.894769;16.800997
tvmonitor:refrigerator;0.982042:0.767096;1.785780:-1.060924:0.000000;0.446530:0.000000:0.000000:-0.894769;16.903195
tvmonitor:refrigerator;0.972975:0.802415;1.785780:-1.060924:0.000000;0.446530:0.000000:0.000000:-0.894769;17.004249
tvmonitor:refrigerator;0.971875:0.969731;1.785245:-1.071955:0.000000;0.496644:0.000000:0.000000:-0.867954;17.105765
tvmonitor;0.923775;1.785245:-1.071955:0.000000;0.496644:0.000000:0.000000:-0.867954;17.207434
tvmonitor:refrigerator;0.949499:0.927418;1.785245:-1.071955:0.000000;0.496644:0.000000:0.000000:-0.867954;17.308044
tvmonitor;0.990918;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;17.410144
tvmonitor:refrigerator;0.974704:0.926936;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;17.512810
tvmonitor;0.974882;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;17.616760
tvmonitor:refrigerator;0.974313:0.770148;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;17.717677
tvmonitor:refrigerator;0.940824:0.781943;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;17.819491
tvmonitor:refrigerator;0.955136:0.940916;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;17.920910
tvmonitor;0.963132;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;18.022075
tvmonitor;0.927836;1.784822:-1.082249:0.000000;0.543006:0.000000:0.000000:-0.839729;18.123764
tvmonitor;0.898202;1.789276:-1.090134:0.000000;0.586884:0.000000:0.000000:-0.809671;18.225446
refrigerator;0.944365;1.789276:-1.090134:0.000000;0.586884:0.000000:0.000000:-0.809671;18.735129
refrigerator;0.892607;1.789276:-1.090134:0.000000;0.586884:0.000000:0.000000:-0.809671;18.837039
refrigerator;0.793993;1.789276:-1.090134:0.000000;0.586884:0.000000:0.000000:-0.809671;18.938407
refrigerator;0.936224;1.788059:-1.096570:0.000000;0.626698:0.000000:0.000000:-0.779262;19.039774
refrigerator;0.789356;1.788059:-1.096570:0.000000;0.626698:0.000000:0.000000:-0.779262;19.240767
refrigerator;0.929255;1.788059:-1.096570:0.000000;0.626698:0.000000:0.000000:-0.779262;19.342630
refrigerator;0.887395;1.788059:-1.096570:0.000000;0.626698:0.000000:0.000000:-0.779262;19.444082
refrigerator;0.750147;1.788059:-1.096570:0.000000;0.626698:0.000000:0.000000:-0.779262;19.547215
refrigerator;0.884653;1.788059:-1.096570:0.000000;0.626698:0.000000:0.000000:-0.779262;19.751067
tvmonitor;0.711085;1.814258:-0.840038:0.000000;0.674343:0.000000:0.000000:-0.738419;20.770685
tvmonitor;0.750068;1.814258:-0.840038:0.000000;0.674343:0.000000:0.000000:-0.738419;20.872067
tvmonitor;0.926307;1.814258:-0.840038:0.000000;0.674343:0.000000:0.000000:-0.738419;20.973734
tvmonitor;0.969904;1.816068:-0.728697:0.000000;0.654854:0.000000:0.000000:-0.755755;21.075167
tvmonitor;0.973206;1.816068:-0.728697:0.000000;0.654854:0.000000:0.000000:-0.755755;21.179054
tvmonitor;0.982210;1.816068:-0.728697:0.000000;0.654854:0.000000:0.000000:-0.755755;21.279063
tvmonitor;0.983259;1.816068:-0.728697:0.000000;0.654854:0.000000:0.000000:-0.755755;21.381271
tvmonitor;0.981628;1.816068:-0.728697:0.000000;0.654854:0.000000:0.000000:-0.755755;21.483630
tvmonitor;0.966082;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;21.587275
tvmonitor;0.973996;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;21.687055
tvmonitor;0.975944;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;21.788257
tvmonitor;0.978108;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;21.889193
tvmonitor;0.968833;1.826561:-0.613739:0.000000;0.632481:0.000000:0.000000:-0.774576;21.992292
